,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_initializer,param_ms_lower,param_p_xo,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,1.968221950531006,0.07358972217428779,0.006774139404296875,0.0010534939075745125,grow,1,0.7,14,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 14}",-17.115126620971516,-11.567460427670255,-13.018447719104408,-14.429241505518503,-11.533053866393852,-13.532666027931707,2.0862777286207796,7,1
1,1.5270811080932618,0.05781073552287167,0.022277641296386718,0.0051846652625846925,grow,1,0.7,6,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 6}",-17.819333604947836,-13.667926780992415,-14.505319986923098,-15.620944880850313,-12.95976675343637,-14.914658401430007,1.7017330963067343,10,1
2,1.7172129154205322,0.14093350822198691,0.09242534637451172,0.024132741051587563,grow,1,0.9,14,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 14}",-18.244876187277253,-15.053323824280996,-14.919211450006339,-16.06822068959537,-14.126211620476644,-15.68236875432732,1.422326100461041,14,1
3,1.2911102294921875,0.04491458119734908,0.37893095016479494,0.21672312209298977,grow,1,0.9,6,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 6}",-19.255561906211593,-16.747245957422052,-17.157994605649908,-18.150280881359386,-15.801592920020001,-17.42253525413259,1.1868489242232558,16,1
4,1.6873003959655761,0.10790872050170486,0.010711574554443359,0.011738535232345847,grow,2,0.7,14,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 14}",-17.07953414772939,-9.621818870247564,-11.595702625507114,-11.871936559828713,-8.854161559177559,-11.804630752498067,2.875507712978655,2,1
5,1.4263384342193604,0.0593876831842314,0.01589093208312988,0.009172596627689742,grow,2,0.7,6,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 6}",-16.19999781572596,-10.982961660523888,-12.394411404840882,-13.340382687631333,-10.291726542660214,-12.641896022276455,2.072900404246064,5,1
6,1.630327081680298,0.0936250974040236,0.06110339164733887,0.054626022069642684,grow,2,0.9,14,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 14}",-17.01117650378992,-10.860702553413518,-13.028936191482003,-13.859703163899848,-11.132947040824225,-13.1786930906819,2.2240633080829517,6,1
7,1.3335230350494385,0.06652389704882256,0.3269181251525879,0.12313419282918635,grow,2,0.9,6,"{'initializer': 'grow', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 6}",-17.963220133318217,-13.775269075020253,-14.714037560872809,-15.864212202922264,-13.260137171068774,-15.115375228640465,1.6774887237744924,12,1
8,1.7896106243133545,0.10065727812957594,0.003828907012939453,0.0007516075670156507,rhh,1,0.7,14,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 14}",-17.197909607123325,-12.04311224509994,-13.154811010206515,-14.272866561619502,-11.223780971265999,-13.578496079063054,2.081533110387933,8,1
9,1.542409086227417,0.05059999011596148,0.013590145111083984,0.003500394613318922,rhh,1,0.7,6,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 6}",-17.67983648942232,-13.216626986275184,-14.167706814429847,-15.279326622025698,-12.58184896627615,-14.58506917568584,1.7955107742205096,9,1
10,1.5821878433227539,0.04018644146006849,0.047222328186035153,0.013676927694876877,rhh,1,0.9,14,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 14}",-18.040068554136962,-14.207093412764491,-14.589893028555547,-15.360552995251874,-13.044918457001145,-15.048505289542003,1.6720935311490988,11,1
11,1.325163221359253,0.051688757731004634,0.46175336837768555,0.38201309342892054,rhh,1,0.9,6,"{'initializer': 'rhh', 'ms_lower': 1, 'p_xo': 0.9, 'tournament_size': 6}",-18.99319692438788,-18.173610495297115,-16.192287502403328,-17.289498269419035,-15.963599096437369,-17.322438457588945,1.1524494209356926,15,1
12,1.7601855754852296,0.10391932022444725,0.01073141098022461,0.002553315828038562,rhh,2,0.7,14,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 14}",-17.235596844589704,-9.376637745055852,-11.341785106034942,-11.902399759153758,-8.551676520803852,-11.681619195127622,3.037116383216603,1,1
13,1.5590103149414063,0.1001082250191752,0.030487966537475587,0.014343698222919461,rhh,2,0.7,6,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.7, 'tournament_size': 6}",-16.943651395147864,-10.328821855039381,-11.99953484125937,-12.886238578622258,-9.757714319019431,-12.38319219781766,2.5421096874974274,4,1
14,1.6437724590301515,0.07724209780407709,0.09023680686950683,0.0488638742959664,rhh,2,0.9,14,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 14}",-16.972935276924897,-10.03651886505122,-12.440195543148615,-12.775638200384924,-9.609653798788178,-12.366988336859567,2.6237790659497664,3,1
15,1.297592782974243,0.05978011044562932,0.3586443901062012,0.1981666668141329,rhh,2,0.9,6,"{'initializer': 'rhh', 'ms_lower': 2, 'p_xo': 0.9, 'tournament_size': 6}",-17.91682873810285,-14.042558653051811,-14.9374165560774,-16.424776039085682,-14.073297734181807,-15.47897554409991,1.4946689599719447,13,1
0,1.7859367370605468,0.10719327214966644,0.0071505546569824215,0.0037048259538187585,grow,1,0.7,14,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 14}",-17.115126620971516,-11.460076976484723,-12.605944957744734,-16.169816493172824,-11.138733168190248,-13.697939643312807,2.4713300666788807,7,2
1,1.419391393661499,0.062284673673815,0.017841911315917967,0.0014330666498743204,grow,1,0.7,6,"{'initializer': 'grow', 'ms_lower': 1, 'p_xo': 0.7, 'tournament_size': 6}",-17.819333604947836,-13.619160623751178,-14.215048554064714,-17.45847669924166,-12.419617843435642,-15.106327465088208,2.1502306963176196,10,2
