,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,0.44899816513061525,0.7445911248505266,0.0017997264862060548,0.0003999005452540353,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.6134948730469,-312.64105224609375,-318.06524658203125,-326.0413818359375,-337.09515380859375,-319.2912658691406,11.716816984560943,9,1
1,0.06085014343261719,0.005188834845757781,0.001931619644165039,0.000299399456037185,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.6134948730469,-312.64105224609375,-318.06524658203125,-326.0413818359375,-337.09515380859375,-319.2912658691406,11.716816984560943,9,1
2,0.05880746841430664,0.0049806014804159955,0.0016590118408203124,0.0005245133659519016,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.6134948730469,-312.6410827636719,-318.0652770996094,-326.0413818359375,-337.09515380859375,-319.29127807617186,11.716812881688348,12,1
3,0.05743412971496582,0.003392418246821262,0.0014705657958984375,0.0004405959860043759,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.61346435546875,-312.6410827636719,-318.0652770996094,-326.0413818359375,-337.09515380859375,-319.29127197265626,11.716821569473003,11,1
4,0.056512975692749025,0.0010894353725517216,0.0016832351684570312,0.0004114208919593192,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-208.95826721191406,-214.74607849121094,-217.90447998046875,-222.3067169189453,-228.6698455810547,-218.51707763671874,6.684409173624076,6,1
5,0.07319211959838867,0.013681891486913076,0.0018645286560058593,0.0002707728357529115,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-208.95826721191406,-214.74607849121094,-217.90447998046875,-222.3067169189453,-228.66983032226562,-218.51707458496094,6.684404538393017,5,1
6,0.05596704483032226,0.0014964248730551864,0.001931619644165039,0.0004913767097715316,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-208.9582977294922,-214.74607849121094,-217.9044952392578,-222.3067169189453,-228.66986083984375,-218.51708984375,6.68440480106052,7,1
7,0.06355581283569336,0.007515797697143666,0.0019183635711669921,0.0004383901264407914,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-208.95826721191406,-214.7461395263672,-217.9044952392578,-222.3068084716797,-228.66989135742188,-218.51712036132812,6.68442629404738,8,1
8,0.061414337158203124,0.0058408274486177626,0.0016460418701171875,0.0004719785883495757,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.25829315185547,-86.46691131591797,-86.31685638427734,-87.59248352050781,-88.4168701171875,-87.01028289794922,0.8554562238343365,1,1
9,0.05592555999755859,0.0015906217636857999,0.0016426563262939454,0.0005837233657675111,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.25829315185547,-86.46691131591797,-86.31685638427734,-87.59249114990234,-88.4168701171875,-87.01028442382812,0.855457262311516,2,1
