,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_slim_version,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,1.264406108856201,0.03672202095957981,0.0018498420715332032,0.00043791174238122277,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.2342092403703235,-9.101488427883963,-13.066432120872419,-24.953852198901593,-12.362333117537887,6.633974378360885,6,1
1,0.955185842514038,0.050813303743892306,0.0013739109039306641,0.00019979247044080633,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.267814957816379,-5.977675316644332,-8.315982592270931,-11.924095556659218,-24.997071771626956,-11.496528039003563,7.076164784031425,4,1
2,0.96116943359375,0.04114232062229602,0.0017563343048095704,0.0005461731318249306,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.953477573902476,-8.296825072207994,-12.92789139324542,-24.961711884794777,-12.11796293206512,6.762863370014979,5,1
3,1.3865313529968262,0.0900597989006484,0.0016144752502441407,0.0005794876760057202,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.99234670135258,-5.678589226375168,-6.1729514264147305,-7.454174474560446,-17.079060534040085,-8.675424472548602,4.247085924132316,3,1
4,1.1302127361297607,0.06348889968829012,0.000913238525390625,0.0005064337615682446,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.9036535322328991,-1.4479986112965855,-3.2999012801572243,-7.482828766080441,-2.166937635605173,-3.260263965074465,2.197802750801384,1,1
5,1.0938735008239746,0.04202062015456751,0.0010996818542480468,0.0002017750168678903,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6044680119129995,-5.663105285817292,-5.986713280806615,-7.392729091563405,-17.001999065318802,-7.529802947083823,5.113053266197768,2,1
0,1.2392859935760498,0.10124271525931385,0.0023087501525878907,0.0005129296019018151,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.105707249141729,-8.96812065588123,-13.567675114170871,-24.224840598098535,-12.2644054433907,6.40861899561555,6,2
1,0.9836339950561523,0.08060853213843487,0.0021993637084960936,0.0006783624815477159,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.784384422983447,-5.684519455992911,-8.637872468244758,-12.508182491757253,-24.333319319126606,-11.589655631620994,6.781134776096176,4,2
2,0.984604024887085,0.039453870189394995,0.0017086029052734374,0.0005936324943218531,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.567333153018379,-8.174001667322601,-13.434166499356333,-24.234277578190987,-11.971937526812647,6.581578939998766,5,2
3,1.3544552326202393,0.06229346214866738,0.0015137672424316406,0.0004519506103296449,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.352626386191043,-6.21062536299685,-6.479678216102784,-8.332264376734377,-16.31098510898227,-8.937235890201464,3.760934725367131,3,2
